school;name;subcategory;second_subcategory
71;Валли;20;16
,,Sapat'';Brawl stars;20;21
71 ШКОЛА;ТРАНСФОРМЕРЫ;14;20
71 ШКОЛА;ТРАНСФОРМЕРЫ;22;13
71 ШКОЛА;ГЕНЕРАТОРЫ;15;21
Akylman Presidential High School;Crazy Horse;14;14
BKTL;BKTL01;14;15
BKTL;BKTL02;13;
H.Karasaev;BlackHand;13;14
Kadamjai Semetei;Semetei 2;14;13
Kadamjai Semetei;Semetei 1;14;15
Kurmanbek baatyr;Simple;14;14
Kurmanbek Baatyr;Атом;14;14
LIGHT ACADEMY;SAMURAI;19;23
LIGHT ACADEMY;ILON MASK;19;16
Light Academy;Aero200;17;
Manas Ata High School;Не команда;13;14
Manas Ata high school ;Не команда ;13;14
Osh Kurmanzhan Datka High School;White Whales;13;20
Osh Kurmanzhan Datka High School ;Fast&Furious ;23;14
Robooky;Инжинеры;14;20
Robooky;Иноваторы;13;15
Robooky;Архитекторы;22;21
Robooky ;Мега-мезаники;23;21
Robooky ;Генераторы;14;
Seytek Tunguch;Luckybots;14;
Zhayil Baatyr Cambridge High School;Dreamer;14;14
Zura Nurmatova High School;ILIT;13;13
Ак-Суйский ДОЦ;АТОМ;14;15
Ак-Суйский районный ДОЦ;АККУЛА;16;20
Без школы;Отец и сын;17;13
Джайыл Баатыр Сапат ;Жайыл Баатыр Лицей;20;20
джал робоки;ИНЖЕНЕРЫ;14;20
"Келечек ""MIT""";Alpha;15;19
"Келечек ""MIT""";Beta;13;14
"Келечек ""MIT""";Gamma;22;20
Келечек MIT;Келечек MIT 4K;14;15
Келечек MIT;4K;14;15
Келечек MIT;Келечек 3K;16;14
Кут билим;Кут билим ;13;20
Кызыл-Кийский имени Исхака Раззакова;Team Razzakov 1;13;16
Кызыл-Кийский лицей имени Исхака Раззакова;Team Razzakov 2;15;
Кызыл-Кийский лицей имени Исхака Раззакова;Team Razzakov 3;14;
Лицей имени Жусупа Баласагына;Lambda Team;14;
Манас Ата Талас лицейи;Талас;14;15
Начальная школа имени Жусупа Баласагына;Zeta Team;15;
НОШ Акылтай;Falcon;22;
НОШ Акылтай;Alpha;22;
"Образовательный комплекс ""Илим""";RYZEN;14;14
"Образовательный комплекс ""Илим""";Edgar;14;14
"Образовательный комплекс ""Илим""";Legos;14;14
"Образовательный комплекс ""Илим""";RYZEN;14;14
Образовательный комплекс “Илим»;Великие Бобы;14;14
Президентская школа «Акылман»;Dark Horse;13;
Россия. Гимназия 16.Интерес.;Mir.kg;21;
Сапат Индиго;Батыр;21;
Сейтек;STIF;20;21
Сейтек;Спайки;20;21
сейтек тунгуч;broh;18;17
Сейтек Тунгуч;Mcm;19;
Сейтек Тунгуч;Brawl stars;20;
Сейтек Тунгуч;Three dinousaurs;21;
Сейтек Тунгуч;Electro;20;
Сейтек Тунгуч;Titan;23;22
Сейтек Тунгуч;Достук;16;
Сейтек Тунгуч;Ljd;17;18
Сейтек Тунгуч;Ulan;16;
СейтекТунгуч;Shrek;17;18
Сокулук Давха;Давха ;20;15
Токмокский лицей имени Жусупа Баласагына;Delta Team;14;14
Уник Ум Кидс ;Изобретатели ;19;19
ШГ 24;Ignite;22;19
Шг24;Ignite star;16;14
Шг24;Ignite star;15;13
ШГ№24;BOBER;21;
ШГ№24;БОБРЫ;13;
школа гимназии им М.Мамакеев;Робокоп;20;13
Школа гимназия  23; Лего Феррари;20;
Школа-гимназии № 24;Робо-Вездеход;23;
Школа-гимназия № 24;Lego Ferrari;20;
ЫМУ(Ысык-Көл мамлекеттик университети);ЫМУ;20;23
Эпсилон;Lego-Dream;22;20
Эпсилон;EpsiBOT;20;22
Эпсилон;Универсам;20;22
Сейтек;"Жалын"" командасы. ";14;19
Сейтек;"""Учкун"" командасы";16;13
Таласский учебно-воспитательный комплекс-лицей “Мээрим”;Throne;14;13
Сейтек Тунгуч;Синий орел;23;
Сейтек Тунгуч;Super Robot;23;
Нош Акылтай;РобоГении;22;
Образовательный комплекс “Сейтек-Стем”;Алга;16;
Образовательный комплекс “Сейтек-Стем”;993;15;
Образовательный комплекс “Сейтек-Стем”;Робокод;13;
Образовательный комплекс “Сейтек-Стем”;УРАГАН;14;
Образовательный комплекс “Сейтек-Стем”;Шумкар;14;
Образовательный комплекс “Сейтек-Стем”;Джет;23;
Образовательный комплекс “Сейтек-Стем”;Феррари;20;
Образовательный комплекс “Сейтек-Стем”;Кибер;22;
Образовательный комплекс “Сейтек-Стем”;Noname;21;
